Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;40128;;
Nederland;L528;AantalGeldigeStemmen;;10571990;;
Nederland;L528;AantalOngeldigeStemmen;;28206;;
Nederland;L528;Kiesgerechtigden;;13589128;;
Nederland;L528;Opkomst;;10640324;;
Nederland;L528;Partij;D66;1790634;26;
Nederland;L528;Partij;PVV (Partij voor de Vrijheid);1760966;26;
Nederland;L528;Partij;VVD;1505829;22;
Nederland;L528;Partij;GROENLINKS / Partij van de Arbeid (PvdA);1352163;20;
Nederland;L528;Partij;CDA;1246874;18;
Nederland;L528;Partij;JA21;628517;9;
Nederland;L528;Partij;Forum voor Democratie;480393;7;
Nederland;L528;Partij;BBB;279916;4;
Nederland;L528;Partij;DENK;250368;3;
Nederland;L528;Partij;Staatkundig Gereformeerde Partij (SGP);238093;3;
Nederland;L528;Partij;Partij voor de Dieren;219371;3;
Nederland;L528;Partij;ChristenUnie;201361;3;
Nederland;L528;Partij;SP (Socialistische Partij);199585;3;
Nederland;L528;Partij;50PLUS;151053;2;
Nederland;L528;Partij;Volt;116468;1;
Nederland;L528;Partij;BIJ1;40360;;
Nederland;L528;Partij;Nieuw Sociaal Contract (NSC);39408;;
Nederland;L528;Partij;Belang Van Nederland (BVNL);18477;;
Nederland;L528;Partij;Vrede voor Dieren;16819;;
Nederland;L528;Partij;Piratenpartij;10575;;
Nederland;L528;Partij;FNP;9331;;
Nederland;L528;Partij;LP (Libertaire Partij);8248;;
Nederland;L528;Partij;DE LINIE;3478;;
Nederland;L528;Partij;NL PLAN;2299;;
Nederland;L528;Partij;Vrij Verbond;1048;;
Nederland;L528;Partij;ELLECT;205;;
Nederland;L528;Partij;Partij voor de Rechtsstaat;151;;
