Polling firm,Fieldwork date,"Sample
size",PVV,GL/PvdA,VVD,NSC,D66,BBB,CDA,SP,DENK,PvdD,FvD,SGP,CU,Volt,JA21,50+,Others,Lead
,,,,,,,,,,,,,,,,,,,,
,,,B5,B1,B4,B3,B2,B5,B3,B1,B1,B2,B5,B3,B3,B2,B5,B3,,
2025 election,29-Oct-25,–,16.70%,12.80%,14.20%,0.40%,16.90%,2.60%,11.80%,1.90%,2.40%,2.10%,4.50%,2.30%,1.90%,1.10%,5.90%,1.40%,1.10%,0.20%
Ipsos I&O,29 Oct 2025[*],–,15.90%,13.00%,14.70%,0.30%,17.50%,2.70%,11.90%,2.00%,2.00%,2.20%,4.10%,2.30%,1.80%,1.10%,5.90%,1.30%,1.30%,
Ipsos I&O,25–28 Oct 2025,"2,505",14.80%,15.00%,10.90%,0.70%,15.40%,3.20%,12.70%,2.70%,2.30%,2.60%,4.00%,2.40%,2.20%,1.60%,7.40%,2.10%,–,0.40%
Ipsos I&O,23–24 Oct 2025,"2,745",16.70%,15.00%,10.40%,0.50%,14.40%,2.70%,12.60%,2.80%,2.40%,3.00%,3.60%,2.50%,2.20%,2.20%,7.70%,1.30%,–,1.70%
Ipsos I&O,13–15 Oct 2025,"2,455",18.50%,13.80%,8.80%,0.70%,11.70%,2.90%,15.90%,3.00%,2.40%,3.10%,3.10%,2.30%,2.30%,2.10%,7.90%,1.60%,–,2.60%
Ipsos I&O,3–6 Oct 2025,"2,079",20.20%,14.00%,8.50%,0.60%,9.30%,2.60%,15.70%,2.60%,3.00%,3.60%,2.90%,2.60%,1.90%,3.00%,8.20%,1.30%,–,4.50%
Ipsos I&O,26–29 Sep 2025,"1,935",19.80%,14.80%,9.30%,0.40%,9.90%,3.60%,15.50%,2.90%,2.70%,2.80%,3.10%,2.50%,1.80%,2.70%,7.30%,0.80%,–,4.30%
Ipsos I&O,13–15 Sep 2025,"1,920",19.90%,14.60%,9.20%,0.20%,8.50%,2.70%,15.30%,4.00%,2.80%,3.00%,2.80%,2.20%,2.40%,2.30%,8.00%,1.00%,–,4.60%
Ipsos I&O,29 Aug – 1 Sep 2025,"1,991",19.50%,14.80%,9.70%,0.70%,7.40%,4.10%,16.10%,4.30%,2.60%,3.80%,2.00%,2.00%,2.30%,2.90%,6.10%,–,–,3.40%
Ipsos I&O,25–28 Jul 2025,"1,735",17.40%,15.20%,12.60%,1.20%,8.10%,3.00%,15.10%,4.00%,2.90%,3.80%,2.10%,2.60%,2.60%,2.50%,4.90%,–,–,2.20%
Ipsos I&O,13–16 Jun 2025,"1,969",19.20%,18.30%,15.40%,1.30%,7.20%,2.80%,13.60%,3.60%,2.40%,4.10%,2.20%,2.50%,2.20%,2.30%,2.40%,–,–,0.90%
Ipsos I&O,5–6 Jun 2025,"1,957",19.00%,16.70%,14.80%,1.70%,8.20%,2.60%,11.80%,3.50%,2.30%,5.20%,3.20%,2.60%,2.20%,2.40%,2.80%,–,–,2.30%
Ipsos I&O,9–12 May 2025,"1,877",18.30%,18.10%,16.70%,1.20%,7.70%,2.60%,11.10%,4.00%,2.50%,4.40%,2.80%,2.50%,2.40%,2.30%,2.60%,–,–,0.20%
